"","Year","Lg","Tm","W","L","T","Playoffs","PF","PA","PD","Coaches","AV","Passer","Rusher","Receiver","oPts","oYds","dPts","dYds","T.G","PtsOvr","YdsOvr","out.of","MoV","SoS","SRS","OSRS","DSRS","TM","TID","c1","c2","p.Year","p.Lg","p.Tm","p.W","p.L","p.T","p.Playoffs","p.PF","p.PA","p.PD","p.Coaches","p.AV","p.Passer","p.Rusher","p.Receiver","p.oPts","p.oYds","p.dPts","p.dYds","p.T.G","p.PtsOvr","p.YdsOvr","p.out.of","p.MoV","p.SoS","p.SRS","p.OSRS","p.DSRS","p.TM","p.TID","p.c1","p.c2","fired.mid","nc","fired","start","cwins","closs","cties","wc","cc","dc","lsb","poffs","playwin","playloss","pmade","sb","cpw","cpl","post","rings","years","ap","twc","tdc","tcc","tlsb","d.Year","d.W","d.L","d.T","d.PF","d.PA","d.PD","d.oPts","d.oYds","d.dPts","d.dYds","d.T.G","d.PtsOvr","d.YdsOvr","d.out.of","d.MoV","d.SoS","d.SRS","d.OSRS","d.DSRS","win.p","p.win.p","d.win.p","v.win.p","c.win.p","pp","dpm","OPTS","OYDS","DPTS","DYDS","TO","PTSO","YDSO","pmz","postz","dpost","qb1","rb1","wr1","zc","y1","y2","y3","y4","y5","y6","y7","gm","gm1","gm2","l.post","mp","dp","cdp","dp5","dp3","dp2","champ","apy","cpwy","wcy","dcy","ccy","lsby","ringsy","apy1"
"1068",2010,"NFL","New England Patriots*",14,2,0,"Lost Div",518,313,205,"Belichick","Brady","Brady","Green-Ellis","Welker",1,8,8,25,1,1,19,32,12.8,2.6,15.4,12.6,2.8,"nwe",3,"Belichick","",2009,"NFL","New England Patriots*",10,6,0,"Lost WC",427,285,142,"Belichick","Mankins","Brady","Maroney","Welker",6,3,5,11,8,4,3,32,8.9,2.3,11.2,6.7,4.5,"nwe",3,"Belichick","",0,"Belichick",0,0,126,50,0,0,0,76,0,2,1,1,1,0,19,5,8,3,11,27,1,2,1,1,1,4,-4,0,91,28,63,-5,5,3,14,-7,-3,16,0,3.9,0.3,4.2,5.9,-1.7,0.875,0.625,0.25,0.6,0.715909090909091,0.727272727272727,5,0.03125,0.25,0.25,0.78125,0.03125,0.03125,0.59375,0.0206611570247934,0.014884052256495,1,0,1,0,5.72871554697751,0,0,0,0,0,0,1,"Bill Belichick",0,0,0,1,0.375,0.215909090909091,0,-0.125,0.1875,1,2.45454545454545,1.45454545454545,0.727272727272727,0.636363636363636,0.454545454545455,0.363636363636364,0.272727272727273,5.8
"1069",2011,"NFL","New England Patriots*",13,3,0,"Lost SB",513,342,171,"Belichick","Brady","Brady","Green-Ellis","Welker",3,2,15,31,3,3,10,32,10.7,-1.4,9.3,9.4,-0.1,"nwe",3,"Belichick","",2010,"NFL","New England Patriots*",14,2,0,"Lost Div",518,313,205,"Belichick","Brady","Brady","Green-Ellis","Welker",1,8,8,25,1,1,19,32,12.8,2.6,15.4,12.6,2.8,"nwe",3,"Belichick","",0,"Belichick",0,0,139,53,0,0,0,86,1,4,3,1,1,0,22,6,9,3,12,31,1,2,1,2,1,-1,1,0,-5,29,-34,2,-6,7,6,2,2,-9,0,-2.1,-4,-6.1,-3.2,-2.9,0.8125,0.875,-0.0625,0.8,0.723958333333333,0.75,6,0.09375,0.0625,0.46875,0.96875,0.09375,0.09375,0.3125,0.0208333333333333,0.013498731178901,1,0,0,0,6.20651539378848,0,0,0,0,0,0,1,"Bill Belichick",0,0,0,1,0.3125,0.223958333333333,0,0.125,0.1875,1,2.58333333333333,1.58333333333333,0.75,0.666666666666667,0.5,0.416666666666667,0.25,6.075
"1070",2012,"NFL","New England Patriots*",12,4,0,"Lost Conf",557,331,226,"Belichick","Brady","Brady","Ridley","Welker",1,1,9,25,1,1,5,32,14.1,-1.4,12.8,12.2,0.5,"nwe",3,"Belichick","",2011,"NFL","New England Patriots*",13,3,0,"Lost SB",513,342,171,"Belichick","Brady","Brady","Green-Ellis","Welker",3,2,15,31,3,3,10,32,10.7,-1.4,9.3,9.4,-0.1,"nwe",3,"Belichick","",0,"Belichick",0,0,151,57,0,0,1,94,0,3,2,1,1,0,24,7,10,3,13,34,1,2,2,2,1,-1,1,0,44,-11,55,-2,-1,-6,-6,-2,-2,-5,0,3.4,0,3.5,2.8,0.6,0.75,0.8125,-0.0625,0.75,0.725961538461538,0.769230769230769,7,0.03125,0.03125,0.28125,0.78125,0.03125,0.03125,0.15625,0.0207100591715976,0.0123116537679644,1,0,1,0,6.51772730564644,0,0,0,0,0,0,1,"Bill Belichick",0,0,0,1,0.25,0.225961538461538,0,0.125,-0.125,1,2.61538461538462,1.61538461538462,0.769230769230769,0.692307692307692,0.538461538461538,0.384615384615385,0.230769230769231,6
"1071",2013,"NFL","New England Patriots*",12,4,0,"Lost Conf",444,338,106,"Belichick","Mankins","Brady","Ridley","Edelman",3,7,10,26,8,8,13,32,6.6,-0.7,5.9,4.5,1.4,"nwe",3,"Belichick","",2012,"NFL","New England Patriots*",12,4,0,"Lost Conf",557,331,226,"Belichick","Brady","Brady","Ridley","Welker",1,1,9,25,1,1,5,32,14.1,-1.4,12.8,12.2,0.5,"nwe",3,"Belichick","",0,"Belichick",0,0,163,61,0,0,1,102,0,3,2,1,1,0,26,8,11,3,14,37,1,2,3,2,1,0,0,0,-113,7,-120,2,6,1,1,7,7,8,0,-7.5,0.7,-6.9,-7.7,0.9,0.75,0.75,0,0.7,0.727678571428571,0.785714285714286,8,0.09375,0.21875,0.3125,0.8125,0.25,0.25,0.40625,0.0204081632653061,0.0113491710756072,1,0,0,1,6.81516166876682,0,0,0,0,0,0,1,"Bill Belichick",0,0,0,1,0.25,0.227678571428571,0,-0.125,-0.0625,1,2.64285714285714,1.64285714285714,0.785714285714286,0.714285714285714,0.571428571428571,0.357142857142857,0.214285714285714,5.93571428571429
"1072",2014,"NFL","New England Patriots*",12,4,0,"Won SB",468,313,155,"Belichick","Brady","Brady","Gray","Gronkowski",4,11,8,13,2,1,10,32,9.7,1.3,10.9,7.5,3.5,"nwe",3,"Belichick","",2013,"NFL","New England Patriots*",12,4,0,"Lost Conf",444,338,106,"Belichick","Mankins","Brady","Ridley","Edelman",3,7,10,26,8,8,13,32,6.6,-0.7,5.9,4.5,1.4,"nwe",3,"Belichick","",0,NA,0,0,175,65,0,0,0,110,0,5,4,0,1,1,30,8,12,4,15,42,1,2,3,2,1,0,0,0,24,-25,49,1,4,-2,-13,-6,-7,-3,0,3.1,2,5,3,2.1,0.75,0.75,0,0.7,0.729166666666667,0.8,9,0.125,0.34375,0.25,0.40625,0.0625,0.03125,0.3125,0.02,0.0117397081081473,1,0,1,1,7.10046946804693,0,0,0,0,0,0,1,"Bill Belichick",0,0,0,1,0.25,0.229166666666667,0,-0.0625,0,1,2.8,1.73333333333333,0.8,0.733333333333333,0.6,0.4,0.266666666666667,6.54666666666667
"1131",1983,"NFL","New York Giants",3,12,1,"",267,347,-80,"Parcells","Taylor","Brunner","Woolfolk","Gray",25,15,16,5,27,23,8,28,-5,2.9,-2.1,-5.5,3.4,"nyg",9,"Parcells","",1982,"NFL","New York Giants",4,5,0,"",164,160,4,"Perkins","Taylor","Brunner","Woolfolk","Perkins",17,16,8,7,16,11,14,28,0.4,0.5,1,-1.9,2.9,"nyg",9,"Perkins","",0,"Parcells",0,1,3,12,1,0,0,-9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-1,7,1,103,187,-84,8,-1,8,-2,11,12,-6,0,-5.4,2.4,-3.1,-3.6,0.5,0.21875,0.444444444444444,-0.225694444444444,0.455555555555556,0.21875,0,-1,0.892857142857143,0.535714285714286,0.571428571428571,0.178571428571429,0.964285714285714,0.821428571428571,0.285714285714286,-0.5,0,-1,0,0,1,-2.25,1,0,0,0,0,0,0,"George Young",0,1,1,1,-0.225694444444444,-0.225694444444444,-0.225694444444444,-0.225694444444444,-0.225694444444444,0,0,0,0,0,0,0,0,0
"1132",1984,"NFL","New York Giants*",9,7,0,"Lost Div",299,301,-2,"Parcells","Haynes","Simms","Carpenter","Johnson",19,13,8,11,5,15,14,28,-0.1,1,0.8,-2.2,3.1,"nyg",9,"Parcells","",1983,"NFL","New York Giants",3,12,1,"",267,347,-80,"Parcells","Taylor","Brunner","Woolfolk","Gray",25,15,16,5,27,23,8,28,-5,2.9,-2.1,-5.5,3.4,"nyg",9,"Parcells","",0,"Parcells",0,0,12,19,1,0,0,-7,0,2,1,1,1,0,1,1,1,0,2,2,0,1,0,0,1,6,-5,-1,32,-46,78,-6,-2,-8,6,-22,-8,6,0,4.9,-1.9,2.9,3.3,-0.3,0.5625,0.21875,0.34375,0.275,0.390625,0.5,0,0.678571428571429,0.464285714285714,0.285714285714286,0.392857142857143,0.178571428571429,0.535714285714286,0.5,0,0,1,1,1,1,-1.23743686707646,0,1,0,0,0,0,0,"George Young",0,0,0,1,0.118055555555556,-0.0538194444444444,0.118055555555556,0.118055555555556,0.118055555555556,0,1,0.5,0.5,0.5,0,0,0,1.05
"1133",1985,"NFL","New York Giants*",10,6,0,"Lost Div",399,283,116,"Parcells","Taylor","Simms","Morris","Manuel",6,5,5,2,14,4,2,28,7.3,-3.3,3.9,2.1,1.8,"nyg",9,"Parcells","",1984,"NFL","New York Giants*",9,7,0,"Lost Div",299,301,-2,"Parcells","Haynes","Simms","Carpenter","Johnson",19,13,8,11,5,15,14,28,-0.1,1,0.8,-2.2,3.1,"nyg",9,"Parcells","",0,"Parcells",0,0,22,25,1,0,0,-3,0,2,1,1,1,0,2,2,2,0,3,4,0,2,0,0,1,1,-1,0,100,-18,118,-13,-8,-3,-9,9,-11,-12,0,7.4,-4.3,3.1,4.3,-1.3,0.625,0.5625,0.0625,0.55,0.46875,0.666666666666667,1,0.214285714285714,0.178571428571429,0.178571428571429,0.0714285714285714,0.5,0.142857142857143,0.0714285714285714,0.0555555555555555,0,1,0,1,1,-0.433012701892219,0,0,1,0,0,0,0,"George Young",0,0,0,1,0.180555555555556,0.0243055555555556,0.180555555555556,0.180555555555556,0.40625,0,1.33333333333333,0.666666666666667,0.666666666666667,0.666666666666667,0,0,0,1.4
"1134",1986,"NFL","New York Giants*",14,2,0,"Won SB",371,236,135,"Parcells","Taylor","Simms","Morris","Bavaro",8,10,2,2,6,2,5,28,8.4,0.6,9,3.2,5.8,"nyg",9,"Parcells","",1985,"NFL","New York Giants*",10,6,0,"Lost Div",399,283,116,"Parcells","Taylor","Simms","Morris","Manuel",6,5,5,2,14,4,2,28,7.3,-3.3,3.9,2.1,1.8,"nyg",9,"Parcells","",0,"Parcells",0,0,36,27,1,0,0,9,0,5,4,0,1,1,6,2,3,1,4,9,0,2,0,0,1,4,-4,0,-28,-47,19,2,5,-3,0,-8,-2,3,0,1.1,3.9,5.1,1.1,4,0.875,0.625,0.25,0.6,0.5703125,0.75,2,0.285714285714286,0.357142857142857,0.0714285714285714,0.0714285714285714,0.214285714285714,0.0714285714285714,0.178571428571429,0.0625,0.0220970869120796,1,0,0,1,1.125,0,0,0,1,0,0,0,"George Young",0,0,0,1,0.430555555555556,0.125868055555556,0.430555555555556,0.65625,0.3125,1,2.25,1.25,0.75,0.75,0.25,0.25,0.25,4.825
"1135",1987,"NFL","New York Giants",6,9,0,"",280,312,-32,"Parcells","Banks","Simms","Morris","Bavaro",22,18,13,7,23,18,12,28,-2.1,1.4,-0.7,-2.9,2.2,"nyg",9,"Parcells","",1986,"NFL","New York Giants*",14,2,0,"Won SB",371,236,135,"Parcells","Taylor","Simms","Morris","Bavaro",8,10,2,2,6,2,5,28,8.4,0.6,9,3.2,5.8,"nyg",9,"Parcells","",0,"Parcells",0,0,42,36,1,0,0,6,0,0,0,0,0,0,6,2,3,1,5,9,0,2,0,0,1,-8,7,0,-91,76,-167,14,8,11,5,17,16,7,0,-10.5,0.8,-9.7,-6.1,-3.6,0.4,0.875,-0.475,0.8,0.537974683544304,0.6,1,0.785714285714286,0.642857142857143,0.464285714285714,0.25,0.821428571428571,0.642857142857143,0.428571428571429,0.02,0.0220970869120796,0,0,0,0,0.675052740555614,0,0,0,0,1,0,0,"George Young",0,0,1,1,-0.0444444444444444,0.0935302390998594,-0.0444444444444444,-0.1625,-0.225,1,1.8,1,0.6,0.6,0.2,0.2,0.2,3.86
"1136",1988,"NFL","New York Giants",10,6,0,"",359,304,55,"Parcells","Taylor","Simms","Morris","Manuel",8,20,9,11,7,9,16,28,3.4,-1.3,2.2,1.5,0.7,"nyg",9,"Parcells","",1987,"NFL","New York Giants",6,9,0,"",280,312,-32,"Parcells","Banks","Simms","Morris","Bavaro",22,18,13,7,23,18,12,28,-2.1,1.4,-0.7,-2.9,2.2,"nyg",9,"Parcells","",0,"Parcells",0,0,52,42,1,0,0,10,0,0,0,0,0,0,6,2,3,1,6,9,0,2,0,0,1,4,-3,0,79,-8,87,-14,2,-4,4,-16,-9,4,0,5.5,-2.7,2.9,4.4,-1.5,0.625,0.4,0.225,0.42,0.552631578947368,0.5,0,0.285714285714286,0.714285714285714,0.321428571428571,0.392857142857143,0.25,0.321428571428571,0.571428571428571,0,0.0220970869120796,0,0,0,1,1.02597835208516,0,0,0,0,0,1,0,"George Young",0,0,2,1,0.180555555555556,0.108187134502924,0,0,-0.25,1,1.5,0.833333333333333,0.5,0.5,0.166666666666667,0.166666666666667,0.166666666666667,3.21666666666667
"1137",1989,"NFL","New York Giants*",12,4,0,"Lost Div",348,252,96,"Parcells","Taylor","Simms","Anderson","Manuel",12,20,2,5,9,4,11,28,6,0.4,6.4,1.9,4.6,"nyg",9,"Parcells","",1988,"NFL","New York Giants",10,6,0,"",359,304,55,"Parcells","Taylor","Simms","Morris","Manuel",8,20,9,11,7,9,16,28,3.4,-1.3,2.2,1.5,0.7,"nyg",9,"Parcells","",0,"Parcells",0,0,64,46,1,0,0,18,0,2,1,1,1,0,7,3,4,1,7,11,0,3,0,0,1,2,-2,0,-11,-52,41,4,0,-7,-6,2,-5,-5,0,2.6,1.7,4.2,0.4,3.9,0.75,0.625,0.125,0.6,0.581081081081081,0.571428571428571,1,0.428571428571429,0.714285714285714,0.0714285714285714,0.178571428571429,0.321428571428571,0.142857142857143,0.392857142857143,0.0102040816326531,0.0158113883008419,1,0,1,0,1.7084843923545,0,0,0,0,0,0,1,"George Young",0,0,0,1,0.305555555555556,0.136636636636637,0,-0.125,0.35,1,1.57142857142857,0.857142857142857,0.571428571428571,0.571428571428571,0.142857142857143,0.142857142857143,0.142857142857143,3.05714285714286
"1138",1990,"NFL","New York Giants*",13,3,0,"Won SB",335,211,124,"Parcells","Johnson","Simms","Anderson","Baker",15,17,1,2,2,2,6,28,7.8,-0.1,7.7,0,7.6,"nyg",9,"Parcells","",1989,"NFL","New York Giants*",12,4,0,"Lost Div",348,252,96,"Parcells","Taylor","Simms","Anderson","Manuel",12,20,2,5,9,4,11,28,6,0.4,6.4,1.9,4.6,"nyg",9,"Parcells","",0,"Handley",0,0,77,49,1,0,0,28,0,5,4,0,1,1,11,3,5,2,8,16,0,3,0,0,1,1,-1,0,-13,-41,28,3,-3,-1,-3,-7,-2,-5,0,1.8,-0.5,1.3,-1.9,3,0.8125,0.75,0.0625,0.7,0.610236220472441,0.625,2,0.535714285714286,0.607142857142857,0.0357142857142857,0.0714285714285714,0.0714285714285714,0.0714285714285714,0.214285714285714,0.015625,0.0190900887080303,1,0,0,1,2.48459822636512,0,0,0,0,0,0,1,"George Young",0,0,0,1,0.368055555555556,0.165791776027997,0,0.4125,0.1875,1,2,1.125,0.625,0.625,0.25,0.25,0.25,4.5625
"1139",1991,"NFL","New York Giants",8,8,0,"",281,297,-16,"Handley","Oates","Hostetler","Hampton","Ingram",19,16,12,7,17,19,11,28,-1,2,1,-0.6,1.5,"nyg",9,"Handley","",1990,"NFL","New York Giants*",13,3,0,"Won SB",335,211,124,"Parcells","Johnson","Simms","Anderson","Baker",15,17,1,2,2,2,6,28,7.8,-0.1,7.7,0,7.6,"nyg",9,"Parcells","",0,"Handley",0,1,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,-5,5,0,-54,86,-140,4,-1,11,5,15,17,5,0,-8.8,2.1,-6.7,-0.6,-6.1,0.5,0.8125,-0.3125,0.75,0.5,0,-1,0.678571428571429,0.571428571428571,0.428571428571429,0.25,0.607142857142857,0.678571428571429,0.392857142857143,-0.5,0,-5,1,1,1,0,1,0,0,0,0,0,0,"George Young",0,0,1,1,-0.3125,-0.3125,-0.3125,-0.3125,-0.3125,0,0,0,0,0,0,0,0,0
"1140",1992,"NFL","New York Giants",6,10,0,"",306,367,-61,"Handley","Hampton","Hostetler","Hampton","McCaffrey",13,22,26,18,12,17,21,28,-3.8,2,-1.8,1.6,-3.4,"nyg",9,"Handley","",1991,"NFL","New York Giants",8,8,0,"",281,297,-16,"Handley","Oates","Hostetler","Hampton","Ingram",19,16,12,7,17,19,11,28,-1,2,1,-0.6,1.5,"nyg",9,"Handley","",0,"Reeves",1,0,14,18,0,0,0,-4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,-2,2,0,25,70,-45,-6,6,14,11,-5,-2,10,0,-2.8,0,-2.8,2.2,-4.9,0.375,0.5,-0.125,0.5,0.4375,0,-2,0.464285714285714,0.785714285714286,0.928571428571429,0.642857142857143,0.428571428571429,0.607142857142857,0.75,-0.25,0,0,0,0,1,-0.707106781186548,0,1,0,0,0,0,0,"George Young",0,0,2,1,-0.4375,-0.375,-0.4375,-0.4375,-0.4375,0,0,0,0,0,0,0,0,0
"1141",1993,"NFL","New York Giants*",11,5,0,"Lost Div",288,205,83,"Reeves","Brooks","Simms","Hampton","Jackson",18,10,1,5,3,6,7,28,5.2,-0.5,4.6,-0.8,5.4,"nyg",9,"Reeves","",1992,"NFL","New York Giants",6,10,0,"",306,367,-61,"Handley","Hampton","Hostetler","Hampton","McCaffrey",13,22,26,18,12,17,21,28,-3.8,2,-1.8,1.6,-3.4,"nyg",9,"Handley","",0,"Reeves",0,1,11,5,0,0,0,6,0,2,1,1,1,0,1,1,1,0,1,2,0,1,0,0,1,5,-5,0,-18,-162,144,5,-12,-25,-13,-9,-11,-14,0,9,-2.5,6.4,-2.4,8.8,0.6875,0.375,0.3125,0.4,0.6875,1,1,0.642857142857143,0.357142857142857,0.0357142857142857,0.178571428571429,0.107142857142857,0.214285714285714,0.25,0.5,0,1,1,0,1,1.5,1,0,0,0,0,0,0,"George Young",0,0,0,1,0.3125,0.3125,0.3125,0.3125,0.3125,0,2,1,1,1,0,0,0,2.1
"1142",1994,"NFL","New York Giants",9,7,0,"",279,305,-26,"Reeves","Brooks","Brown","Hampton","Sherrard",22,28,8,11,8,16,24,28,-1.6,-0.1,-1.7,-2.7,1,"nyg",9,"Reeves","",1993,"NFL","New York Giants*",11,5,0,"Lost Div",288,205,83,"Reeves","Brooks","Simms","Hampton","Jackson",18,10,1,5,3,6,7,28,5.2,-0.5,4.6,-0.8,5.4,"nyg",9,"Reeves","",0,"Reeves",0,0,20,12,0,0,0,8,0,0,0,0,0,0,1,1,1,0,2,2,0,1,0,0,1,-2,2,0,-9,100,-109,4,18,7,6,5,10,17,0,-6.8,0.4,-6.3,-1.9,-4.4,0.5625,0.6875,-0.125,0.65,0.625,0.5,0,0.785714285714286,1,0.285714285714286,0.392857142857143,0.285714285714286,0.571428571428571,0.857142857142857,0,0,0,1,0,1,1.4142135623731,0,1,0,0,0,0,0,"George Young",0,0,1,1,0.1875,0.25,0.1875,0.1875,0.1875,0,1,0.5,0.5,0.5,0,0,0,1.05
"1143",1995,"NFL","New York Giants",5,11,0,"",290,340,-50,"Reeves","Brown","Brown","Hampton","Calloway",24,29,16,17,9,23,26,30,-3.1,1.6,-1.5,-2.6,1.1,"nyg",9,"Reeves","",1994,"NFL","New York Giants",9,7,0,"",279,305,-26,"Reeves","Brooks","Brown","Hampton","Sherrard",22,28,8,11,8,16,24,28,-1.6,-0.1,-1.7,-2.7,1,"nyg",9,"Reeves","",0,"Reeves",0,0,25,23,0,0,0,2,0,0,0,0,0,0,1,1,1,0,3,2,0,1,0,0,1,-4,4,0,11,35,-24,2,1,8,6,1,7,2,2,-1.5,1.7,0.2,0.1,0.1,0.3125,0.5625,-0.25,0.55,0.520833333333333,0.333333333333333,-1,0.8,0.966666666666667,0.533333333333333,0.566666666666667,0.3,0.766666666666667,0.866666666666667,-0.0555555555555556,0,0,0,0,1,0.288675134594813,0,0,1,0,0,0,0,"George Young",0,0,2,1,-0.0625,0.145833333333333,-0.0625,-0.0625,-0.375,0,0.666666666666667,0.333333333333333,0.333333333333333,0.333333333333333,0,0,0,0.7
"1144",1996,"NFL","New York Giants",6,10,0,"",242,297,-55,"Reeves","Bratzke","Brown","Hampton","Calloway",28,30,10,14,14,20,29,30,-3.4,-0.7,-4.1,-5.7,1.5,"nyg",9,"Reeves","",1995,"NFL","New York Giants",5,11,0,"",290,340,-50,"Reeves","Brown","Brown","Hampton","Calloway",24,29,16,17,9,23,26,30,-3.1,1.6,-1.5,-2.6,1.1,"nyg",9,"Reeves","",0,"Fassel",1,0,31,33,0,0,0,-2,0,0,0,0,0,0,1,1,1,0,4,2,0,1,0,0,1,1,-1,0,-48,-43,-5,4,1,-6,-3,5,-3,3,0,-0.3,-2.3,-2.6,-3.1,0.4,0.375,0.3125,0.0625,0.35,0.484375,0.25,-2,0.933333333333333,1,0.333333333333333,0.466666666666667,0.466666666666667,0.666666666666667,0.966666666666667,-0.0625,0,0,0,0,0,-0.25,0,0,0,1,0,0,0,"George Young",0,0,3,1,0,0.109375,0,-0.3125,-0.1875,0,0.5,0.25,0.25,0.25,0,0,0,0.525
"1145",1997,"NFL","New York Giants*",10,5,1,"Lost WC",307,265,42,"Fassel","Strahan","Kanell","Way","Calloway",21,27,3,18,1,10,25,30,2.6,-1.1,1.5,-1.8,3.3,"nyg",9,"Fassel","",1996,"NFL","New York Giants",6,10,0,"",242,297,-55,"Reeves","Bratzke","Brown","Hampton","Calloway",28,30,10,14,14,20,29,30,-3.4,-0.7,-4.1,-5.7,1.5,"nyg",9,"Reeves","",0,"Fassel",0,1,10,5,1,1,0,5,0,1,0,1,1,0,0,1,1,0,1,1,1,0,0,0,1,4,-5,1,65,-32,97,-7,-3,-7,4,-13,-10,-4,0,6,-0.4,5.6,3.9,1.8,0.65625,0.375,0.28125,0.4,0.65625,1,1,0.7,0.9,0.1,0.6,0.0333333333333333,0.333333333333333,0.833333333333333,0.5,-0.125,0,1,1,0,1.25,1,0,0,0,0,0,0,"George Young",0,0,0,1,0.28125,0.28125,0.28125,0.28125,0.28125,0,1,0,1,0,0,0,0,0.1
"1146",1998,"NFL","New York Giants",8,8,0,"",287,309,-22,"Fassel","Strahan","Kanell","Brown","Calloway",23,29,8,19,13,15,23,30,-1.4,-1.9,-3.2,-4.3,1.1,"nyg",9,"Fassel","",1997,"NFL","New York Giants*",10,5,1,"Lost WC",307,265,42,"Fassel","Strahan","Kanell","Way","Calloway",21,27,3,18,1,10,25,30,2.6,-1.1,1.5,-1.8,3.3,"nyg",9,"Fassel","",0,"Fassel",0,0,18,13,1,0,0,5,0,0,0,0,0,0,0,1,1,0,2,1,1,0,0,0,1,-2,3,-1,-20,44,-64,2,2,5,1,12,5,-2,0,-4,-0.8,-4.7,-2.5,-2.2,0.5,0.65625,-0.15625,0.625,0.578125,0.5,0,0.766666666666667,0.966666666666667,0.266666666666667,0.633333333333333,0.433333333333333,0.5,0.766666666666667,0,-0.125,0,0,1,0,0.883883476483184,0,1,0,0,0,0,0,"Ernie Accorsi",1,1,1,1,0.125,0.203125,0.125,0.125,0.125,0,0.5,0,0.5,0,0,0,0,0.05
"1147",1999,"NFL","New York Giants",7,9,0,"",299,358,-59,"Fassel","Armstead","Collins","Montgomery","Toomer",20,17,23,13,25,23,15,31,-3.7,0.7,-3,-1.8,-1.2,"nyg",9,"Fassel","",1998,"NFL","New York Giants",8,8,0,"",287,309,-22,"Fassel","Strahan","Kanell","Brown","Calloway",23,29,8,19,13,15,23,30,-1.4,-1.9,-3.2,-4.3,1.1,"nyg",9,"Fassel","",0,"Fassel",0,0,25,22,1,0,0,3,0,0,0,0,0,0,0,1,1,0,3,1,1,0,0,0,1,-1,1,0,12,49,-37,-3,-12,15,-6,12,8,-8,1,-2.3,2.6,0.2,2.5,-2.3,0.4375,0.5,-0.0625,0.5,0.53125,0.333333333333333,-1,0.645161290322581,0.548387096774194,0.741935483870968,0.419354838709677,0.806451612903226,0.741935483870968,0.483870967741935,-0.0555555555555556,-0.125,0,1,1,1,0.433012701892219,0,0,1,0,0,0,0,"Ernie Accorsi",1,1,2,1,0.0625,0.15625,0.0625,0.0625,-0.21875,0,0.333333333333333,0,0.333333333333333,0,0,0,0,0.0333333333333333
"1148",2000,"NFL","New York Giants*",12,4,0,"Lost SB",328,246,82,"Fassel","Hamilton","Collins","Barber","Toomer",15,13,5,5,9,9,8,31,5.1,-2.7,2.4,-1.3,3.8,"nyg",9,"Fassel","",1999,"NFL","New York Giants",7,9,0,"",299,358,-59,"Fassel","Armstead","Collins","Montgomery","Toomer",20,17,23,13,25,23,15,31,-3.7,0.7,-3,-1.8,-1.2,"nyg",9,"Fassel","",0,"Fassel",0,0,37,26,1,0,0,11,1,4,3,1,1,0,3,2,2,0,4,5,1,0,0,1,1,5,-5,0,29,-112,141,-5,-4,-18,-8,-16,-14,-7,0,8.8,-3.4,5.4,0.5,5,0.75,0.4375,0.3125,0.45,0.5859375,0.5,0,0.483870967741935,0.419354838709677,0.161290322580645,0.161290322580645,0.290322580645161,0.290322580645161,0.258064516129032,0,0.0111803398874989,1,0,1,0,1.375,0,0,0,1,0,0,0,"Ernie Accorsi",1,1,0,1,0.375,0.2109375,0.375,0.09375,0.25,0,1.25,0.75,0.5,0.25,0.25,0.25,0,2.3
"1149",2001,"NFL","New York Giants",7,9,0,"",294,321,-27,"Fassel","Strahan","Collins","Barber","Toomer",21,9,16,14,16,18,7,31,-1.7,-0.1,-1.8,-1.8,0,"nyg",9,"Fassel","",2000,"NFL","New York Giants*",12,4,0,"Lost SB",328,246,82,"Fassel","Hamilton","Collins","Barber","Toomer",15,13,5,5,9,9,8,31,5.1,-2.7,2.4,-1.3,3.8,"nyg",9,"Fassel","",0,"Fassel",0,0,44,35,1,0,0,9,0,0,0,0,0,0,3,2,2,0,5,5,1,0,0,1,1,-5,5,0,-34,75,-109,6,-4,11,9,7,9,-1,0,-6.8,2.6,-4.2,-0.5,-3.8,0.4375,0.75,-0.3125,0.7,0.55625,0.4,-1,0.67741935483871,0.290322580645161,0.516129032258065,0.451612903225806,0.516129032258065,0.580645161290323,0.225806451612903,-0.02,0.0111803398874989,0,0,0,0,1.00623058987491,0,0,0,0,1,0,0,"Ernie Accorsi",1,1,1,1,0.0625,0.18125,0.0625,-0.0625,0,0,1,0.6,0.4,0.2,0.2,0.2,0,1.84
